MatchName,SoS
K0327A1,soil
K0324C2,soil
K0324C1,soil
K0324A1,soil
K0324A2,soil
K0324B1,soil
K0324B2,soil
K0327C2,soil
K0327C1,soil
K0327B2,soil
K0327B1,soil
K0327A2,soil
K0328A1,soil
K0328A2,soil
K0328B1,soil
K0328C1,soil
K0328C1,soil
K0328B2,soil
K0323A2,soil
K0323A1,soil
K0323C1,soil
K0323C2,soil
K0323B2,soil
K0323B1,soil
K0016A1,soil
K0018A1,soil
NA,soil
K0011AA,soil
K0028C2,soil
K0028B1,soil
K0035A1,soil
K0030B1,sediment
K0030A2,sediment
K0026A1,soil
K0078A1,soil
K0079A1,soil
K0103C1,soil
K0068A1,sediment
K0117A1,sediment
K0058A1,soil
K0197A1,soil
K0119A1,soil
K0094C1,soil
K0157A1,sediment
K0158A1,sediment
K0189A1,soil
K0140A1,soil
K0196A2,soil
K0210A2,soil
K0063A1,soil
K0126A1,soil
K0016A2,soil
K0018A2,soil
NA,soil
K0011A2,soil
"K0028B,LC1(LC)",sediment
K0035A2,sediment
"K0030C,LB,LB2(LB)",soil
K0026A2,sediment
K0079A2,soil
K0078A2,soil
K0103C2,sediment
K0068C2,soil
K0117A2,soil
K0058A2,soil
K0197A2,soil
K0119A2,soil
K0094C2,soil
K0157A2,sediment
K0158A2,sediment
K0189A2,soil
K0140A2,soil
K0196A1,soil
K0210A1,soil
"K0063A,LC2(LC)",sediment
K0063C2,sediment
K0126A2,soil
K0016B1,soil
K0018B1,soil
7.86E+11.86E+1111,soil
K0011B1,soil
"K0028C,LA2)",sediment
K0035B1,sediment
"K0030C,LA,LB2)",sediment
K0026B1,soil
K0078B1,soil
K0078B2,soil
K0079B2,soil
K0104C1,soil
K0068B1,soil
K0117B1,soil
K0058C2,soil
K0197B1,soil
K0119B1,soil
K0094B1,soil
K0157B1,soil
K0158B1,soil
K0189B1,soil
K0140B1,soil
K0196B1,soil
K0210B1,soil
K0063B1,sediment
K0126B1,soil
K0016B2,soil
K0018B2,soil
7.86E+11.86E+1111,soil
K0011B2,soil
